Word based distribution,Path length,mailto: present,Dash,Is title tag empty,Digit to alphabet ratio,ASN updation date,Tilde,Is English word,Is www present,Domain Age in Days,Is Pronounceable,Levenshtein Distance,Files in URL,Question Mark,Total links,Body tags in source,.js used,Label
1,111,0,1,0,0.487179487,0,0,1,0,0,0,0,0,0,0,0,0,0
1,10,0,0,0,0.0,1,0,1,1,4079,0,0,0,0,0,0,0,0
1,20,0,0,0,0.0,1,1,1,1,12970,0,0,0,0,0,0,0,0
1,10,1,1,1,0.045454545,1,0,1,1,9757,0,0,0,0,18,1,0,0
1,11,0,0,0,0.0,1,0,1,1,8644,0,0,0,0,4,1,0,0
1,12,1,0,0,0.115384615,1,0,1,0,3586,0,0,0,0,35,1,0,0
1,22,0,1,0,0.0,1,0,0,1,3572,0,0,0,0,2,1,0,0
1,18,0,0,0,0.0,1,0,1,0,3252,0,0,0,0,0,0,0,0
1,4,0,1,0,0.029411765,0,0,1,1,0,0,0,0,2,0,0,0,0
0,16,0,2,0,0.273684211,0,0,1,0,0,0,0,0,0,0,0,0,0
1,23,0,1,0,0.0,1,0,1,1,3586,0,0,0,0,0,0,0,0
1,8,0,1,0,0.026666667,0,0,1,1,0,0,0,0,2,0,0,0,0
1,10,0,1,0,0.101265823,0,0,1,0,0,0,0,0,1,0,0,0,0
1,60,0,1,0,0.027027027,1,0,1,0,0,0,0,0,0,9,0,0,0
1,25,0,1,0,0.12195122,1,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,2,0,0.037037037,1,0,1,0,4259,0,0,0,0,0,0,0,0
0,50,0,2,0,0.191489362,0,0,1,0,0,0,0,0,0,0,0,0,0
1,29,0,0,0,0.095238095,0,0,1,1,13012,0,0,0,0,0,0,0,0
1,12,0,0,0,0.0,1,0,1,1,4981,0,0,0,0,0,0,0,0
1,7,0,1,0,0.0,1,0,0,1,3586,0,0,0,0,273,0,0,0
1,27,0,0,0,0.0,1,0,1,0,8355,0,0,0,0,0,0,0,0
1,45,0,0,0,0.0,1,0,1,1,1567,0,0,0,0,0,0,0,0
1,47,0,0,0,0.163265306,1,0,1,1,4013,0,0,0,0,69,1,0,0
1,25,0,1,0,0.0,0,0,1,0,0,1,0,0,0,0,0,0,0
1,28,1,1,0,0.15,1,0,1,0,2286,0,0,0,0,25,1,0,0
0,11,0,1,0,0.112068966,1,0,1,1,0,0,0,0,1,0,0,0,0
1,37,0,1,0,0.0,0,0,1,0,2917,0,0,0,0,0,0,0,0
1,10,0,0,0,0.0,1,0,1,1,2721,0,0,0,0,1,1,0,0
1,13,0,0,0,0.0,1,0,1,0,8644,1,0,0,0,0,0,0,0
1,16,0,3,0,0.365853659,0,0,0,0,0,0,0,0,2,0,0,0,0
1,69,0,1,0,0.0,1,0,0,0,5077,0,0,1,0,0,0,0,0
1,32,0,0,0,0.0,0,0,1,1,4113,0,0,0,0,16,1,0,0
0,43,0,6,0,0.842696629,1,0,1,0,0,0,0,0,0,0,0,0,0
1,19,0,0,0,0.0,1,0,1,1,7473,0,0,0,0,0,0,0,0
0,55,0,1,0,0.369230769,1,0,1,0,5477,0,0,0,1,0,0,0,0
0,14,0,2,0,0.805825243,1,0,0,0,0,0,0,0,1,0,0,0,0
1,14,0,0,0,0.0,1,0,1,0,4665,0,0,0,0,0,0,0,0
1,13,0,1,0,0.023809524,0,0,1,1,2676,0,0,0,2,0,0,0,0
1,10,0,1,0,0.024096386,1,0,1,1,12798,0,0,0,2,0,0,0,0
1,1,0,3,0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0
1,20,0,0,0,0.0,1,0,1,0,3086,0,0,0,0,4,1,0,0
1,23,0,0,0,0.0,1,1,1,0,8644,1,0,0,0,6,1,0,0
1,14,1,0,0,0.0,1,0,1,1,6754,0,0,0,0,11,1,0,0
1,19,0,1,0,0.0,0,0,0,1,11632,0,0,0,0,0,0,0,0
1,21,0,0,0,0.032258065,1,1,0,1,1136,0,0,0,0,0,0,0,0
0,8,0,0,0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0
1,39,0,0,0,0.054545455,1,1,1,0,0,0,0,0,0,0,0,0,0
0,57,0,2,0,0.025773196,0,0,1,0,7934,0,0,0,1,0,0,0,0
1,21,0,0,0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0
1,20,0,0,0,0.058823529,1,0,1,0,3086,0,0,0,0,5,1,0,0
1,13,0,0,0,0.0,1,0,1,1,2223,0,0,0,0,135,1,0,0
1,27,0,6,0,0.234234234,1,0,0,0,0,0,0,0,1,0,0,0,0
1,11,0,0,0,0.0,0,0,1,1,2911,0,0,0,0,232,1,0,0
1,4,0,1,0,0.028571429,1,0,1,0,0,0,0,0,2,0,0,0,0
1,11,1,0,0,0.076923077,1,0,1,0,3586,0,0,0,0,21,1,0,0
1,15,0,0,0,0.0,0,0,1,1,7962,0,0,0,0,36,0,0,0
1,4,0,1,0,0.028985507,0,0,1,0,2676,0,0,0,2,0,0,0,0
1,5,0,1,0,0.3,0,0,0,0,3631,0,0,0,1,0,0,0,0
0,22,0,0,0,0.0,1,0,1,0,6320,0,0,0,0,0,0,0,0
0,25,0,0,0,0.160493827,1,0,1,0,5932,1,0,0,1,0,0,0,0
1,17,0,0,0,0.0,1,0,1,1,6563,0,0,0,0,0,1,0,0
1,17,0,0,0,0.0,1,0,1,0,5793,0,0,0,0,0,0,0,0
1,8,0,2,0,0.025316456,1,0,0,1,11673,0,0,0,2,0,1,0,0
1,27,0,0,0,0.392857143,1,0,1,0,0,1,0,0,0,0,0,0,0
1,65,0,1,0,0.25,1,0,1,1,0,0,0,0,0,0,0,0,0
1,19,0,0,0,0.185185185,0,0,0,1,4596,0,0,0,0,0,0,0,0
1,20,0,0,0,0.058823529,1,0,1,0,3086,0,0,0,0,5,1,0,0
1,31,1,0,0,0.0,1,1,1,1,12746,0,0,0,0,19,1,0,0
1,36,0,0,0,0.037735849,1,0,1,0,0,0,0,0,0,0,0,0,0
1,20,0,0,0,0.034188034,1,0,1,1,0,0,0,0,1,0,0,0,0
1,32,0,0,0,0.0,1,0,1,1,0,0,0,0,0,0,0,0,0
1,13,1,0,0,0.153846154,1,0,1,0,3586,0,0,0,0,68,1,0,0
1,1,0,0,0,0.03030303,1,0,0,0,3124,0,0,0,0,0,0,0,0
1,16,1,0,0,0.0,1,0,1,1,8644,0,0,0,0,3,1,0,0
1,54,0,0,0,0.01369863,1,0,1,0,0,0,0,0,0,0,0,0,0
1,71,0,0,0,0.357142857,1,0,1,0,0,0,0,0,0,0,0,0,0
1,43,0,2,0,0.160714286,0,0,1,0,2816,0,0,0,1,0,0,0,0
1,1,0,2,0,0.0,1,0,1,0,0,1,0,0,0,0,0,0,0
1,15,0,0,0,0.0,0,1,1,1,0,0,0,0,0,0,0,0,0
1,25,0,0,0,0.0,0,0,1,1,8593,1,0,0,0,758,1,0,0
1,34,0,7,0,0.186851211,1,0,1,0,0,0,0,0,1,0,0,0,0
1,34,0,8,0,0.126696833,1,0,0,0,0,0,0,0,1,0,0,0,0
1,34,0,9,0,0.166666667,1,0,1,0,0,0,0,0,1,0,0,0,0
1,34,0,0,0,0.0,1,0,1,1,0,0,0,0,0,0,0,1,0
1,51,1,0,0,0.054545455,1,0,1,0,6563,0,0,0,0,49,1,0,0
1,8,0,1,0,0.2,0,0,0,1,3586,0,0,0,0,0,0,0,0
1,34,0,8,0,0.146428571,0,0,1,0,0,0,0,0,1,0,0,0,0
1,72,0,0,0,0.673611111,1,0,1,1,0,0,0,0,1,0,0,0,0
1,16,0,0,0,0.0,1,0,1,0,1264,1,0,0,0,0,0,0,0
1,27,0,0,0,0.025,0,0,1,1,3896,0,0,0,0,0,0,0,0
1,4,0,0,0,0.0,0,0,1,1,10946,0,0,0,0,3,0,0,0
1,23,0,0,0,0.022727273,0,0,1,0,0,1,0,0,0,0,0,0,0
1,10,0,0,0,0.0,1,0,1,0,6584,0,0,0,0,0,0,0,0
1,41,0,1,0,0.057692308,1,0,1,0,0,0,0,0,0,0,0,0,0
1,12,0,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0
1,13,1,0,0,0.153846154,1,0,1,0,3586,0,0,0,0,703,1,0,0
1,13,1,0,0,0.153846154,0,0,1,0,3586,0,0,0,0,41,1,0,0
1,18,0,2,0,0.0,1,0,1,0,3649,0,0,0,0,2,1,0,0
1,44,0,0,0,0.020408163,1,0,1,1,14523,0,0,0,0,24,0,0,0
1,32,0,2,0,0.0,1,1,1,1,8298,1,0,0,0,0,0,0,0
1,9,0,0,0,0.0,1,1,1,1,8626,0,0,0,0,0,0,0,0
1,8,0,1,0,0.034482759,0,0,1,1,0,0,0,0,1,0,0,0,0
0,52,0,1,0,0.677725118,0,0,1,1,0,0,0,0,1,0,0,0,0
1,34,0,6,0,0.203703704,0,0,1,0,0,0,0,0,1,0,0,0,0
1,14,0,0,0,0.0,1,0,1,1,3252,0,0,0,0,122,0,0,0
1,101,0,0,0,0.734782609,1,0,1,0,0,0,0,0,1,0,0,0,0
1,13,1,0,0,0.153846154,0,0,1,0,3586,0,0,0,0,80,1,0,0
0,1,0,0,0,0.155844156,0,0,1,0,0,0,0,0,0,0,0,0,0
0,15,0,0,0,0.068965517,1,0,1,0,0,0,0,0,1,0,0,0,0
0,34,0,0,0,0.0,1,0,1,0,0,1,0,0,0,0,0,0,0
1,18,0,0,0,0.0,1,0,1,1,1567,0,0,0,0,242,0,0,0
1,23,0,1,0,0.025641026,1,0,0,1,0,0,0,0,0,0,0,0,0
1,1,0,1,0,0.0,1,0,1,0,3252,0,0,0,0,0,0,0,0
1,35,0,0,0,0.0,1,0,1,0,0,1,0,0,0,0,0,0,0
1,1,0,0,0,0.0,1,0,1,0,5450,0,0,0,0,0,0,0,0
0,1,0,1,0,0.091954023,1,0,1,1,11721,0,0,0,0,0,0,0,0
1,34,0,8,0,0.186813187,1,0,1,0,0,0,0,0,1,0,0,0,0
1,10,0,1,0,0.0,0,0,0,1,1648,0,0,0,0,1,1,0,0
1,1,0,0,0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0
1,12,1,0,0,0.153846154,1,0,0,1,4665,0,0,0,0,25,1,0,0
1,12,1,0,0,0.0,1,0,1,0,4146,0,0,0,0,58,1,0,0
1,55,0,1,0,0.125,1,0,1,1,2911,1,0,0,0,0,0,0,0
1,9,0,0,0,0.0,1,1,1,0,0,0,8,0,0,0,0,0,0
1,20,0,1,0,0.0106382978723404,1,0,0,1,0,0,20,0,1,0,0,0,0
1,41,0,0,0,0.0,1,0,1,1,0,0,0,0,0,0,0,0,0
1,5,0,0,0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0
1,13,1,0,0,0.153846153846154,1,0,1,0,3586,0,0,0,0,303,1,0,0
1,9,0,0,0,0.0869565217391304,1,0,1,1,8644,0,0,0,0,3,1,0,0
1,21,0,0,0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,27,0,0,0,0.475409836065574,1,0,0,1,0,0,0,0,1,0,0,0,0
1,8,0,1,0,0.0675675675675675,0,0,0,0,2721,0,0,0,2,2,1,0,0
0,20,0,1,0,0.801980198019802,0,0,1,0,0,0,0,0,1,0,0,0,0
1,12,0,0,0,0.0,0,0,1,1,10145,0,0,0,0,265,1,0,0
1,7,0,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0
1,24,0,0,0,0.125,0,1,1,1,2389,1,0,0,0,0,0,0,0
0,81,0,0,0,0.51,1,0,1,1,0,0,0,0,0,0,0,0,0
1,18,0,0,0,0.0,0,0,1,1,3586,0,0,0,0,423,1,0,0
0,13,0,0,0,0.0,1,0,1,0,8392,0,0,0,0,0,0,0,0
1,21,0,0,0,0.0,1,0,1,0,3252,0,0,0,0,109,0,0,0
1,4,0,1,0,0.0952380952380952,1,0,1,1,0,0,0,0,2,0,0,0,0
1,3,0,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0
1,34,0,7,0,0.197802197802198,1,0,1,0,0,0,0,0,1,0,0,0,0
1,11,0,0,0,0.0,0,0,1,1,0,0,0,0,1,0,0,0,0
0,23,0,0,0,0.0217391304347826,1,1,1,1,6493,0,0,0,0,0,0,0,0
0,44,0,1,0,0.315789473684211,0,0,1,1,7221,0,0,0,1,2,2,0,0
1,10,0,0,0,0.0,1,0,1,1,3063,0,0,0,0,18,0,0,0
1,11,0,0,0,0.0,0,0,1,1,1353,0,0,0,0,0,0,0,0
1,12,0,1,0,0.0,1,0,0,1,9202,0,0,0,0,0,0,0,0
1,9,0,1,0,0.0898876404494382,1,0,0,0,0,0,0,0,2,0,0,0,0
1,1,0,1,0,0.0857142857142857,0,0,0,0,0,0,0,0,1,0,0,0,0
1,4,0,0,0,0.0153846153846153,0,0,1,0,0,0,0,0,2,0,0,0,0
1,4,0,1,0,0.0975609756097561,0,0,1,1,0,0,0,0,2,0,0,0,0
1,24,1,0,0,0.0263157894736842,1,0,1,1,8644,0,0,0,0,12,1,0,0
1,20,0,0,0,0.0121951219512195,0,0,1,1,0,0,0,0,1,0,0,0,0
1,65,0,3,0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0
1,16,0,0,0,0.0,1,0,1,0,7962,0,0,0,0,5,1,0,0
1,24,0,2,0,0.0,0,0,1,1,0,0,0,0,0,0,0,0,0
1,22,0,0,0,0.0,0,1,1,0,8094,0,0,0,0,0,0,0,0
1,44,0,0,0,0.0555555555555555,1,0,1,1,0,0,0,0,4,0,0,0,0
1,6,0,0,0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0
1,19,0,0,0,0.166666666666667,1,0,1,0,3086,0,0,0,0,5,1,0,0
1,34,0,9,0,0.185567010309278,1,0,1,0,0,0,0,0,1,0,0,0,0
1,7,0,0,0,0.0,0,0,1,1,9928,0,0,0,0,0,0,0,0
1,75,0,5,0,0.138888888888889,1,0,1,1,3252,1,0,0,0,58,0,0,0
0,18,0,1,0,0.0,1,0,1,1,11721,0,0,0,0,0,0,0,0
1,8,0,1,0,0.0975609756097561,1,0,0,0,0,0,0,0,2,0,0,0,0
1,23,0,0,0,0.0,1,1,1,1,11029,0,0,0,0,2,1,0,0
1,11,0,1,0,0.0,0,0,0,0,0,0,0,0,2,0,0,0,0
0,32,0,0,0,0.0,1,0,1,0,6627,0,0,0,0,0,0,0,0
0,25,0,0,0,0.353658536585366,0,0,1,0,0,0,0,0,1,0,0,0,0
1,62,0,0,0,0.322033898305085,1,0,1,1,9264,0,0,0,0,0,0,0,0
1,39,0,0,0,0.297297297297297,1,0,1,1,2911,1,0,0,0,101,0,0,0
0,14,0,0,0,0.131578947368421,0,0,1,0,0,0,0,0,0,0,0,0,0
1,44,0,0,0,0.4,1,0,1,0,0,0,0,0,0,0,0,0,0
1,24,0,1,0,0.025,1,0,0,1,4386,0,0,0,0,260,1,0,0
1,9,0,0,0,0.115384615384615,1,0,0,1,2020,0,0,0,0,0,0,0,0
1,1,0,1,0,0.0,1,0,1,0,4812,0,0,0,0,0,0,0,0
1,20,0,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0
1,34,0,10,0,0.143333333333333,0,0,1,0,0,0,0,0,1,0,0,0,0
1,4,0,0,0,0.0114942528735632,1,0,1,0,0,0,0,0,2,0,0,0,0
1,35,1,1,0,0.0,0,1,1,1,11769,0,0,0,0,21,0,0,0
1,74,0,1,0,0.482142857142857,0,0,1,0,4639,0,0,0,0,0,0,0,0
1,14,0,0,0,0.0,1,0,1,0,3922,0,0,0,0,0,0,0,0
1,24,0,0,0,0.0,0,0,1,1,6563,0,0,0,0,0,1,0,0
