Word based distribution,Body tags in source,File Extention,Frame tag present,Exec() Function,Is www present,Dots,Is Pronounceable,Levenshtein Distance,Entropy,Tilde,Domain to URL Ratio,At Character,mailto: present,Uppercase to LowercaseRatio,Total links,Is domain suspicious,Numeric Character,Google Search Feature,ASN updation date,Ampersand,Question Mark,Percentage Character,Label
1,1,0,1,0,0,2,0,0,4.04729909842664,0,0.724137931034483,0,0,0.0,62,37,0,0,1,0,0,0,0
1,0,0,0,0,1,2,0,0,3.83326968951511,0,0.68,0,0,0.0,0,0,0,0,0,0,0,0,0
1,1,0,0,0,1,2,0,0,4.01930504062989,0,0.466666666666667,0,0,0.0,9,10,0,0,1,0,0,0,0
1,0,0,0,0,1,2,0,0,3.87806826834552,0,0.764705882352941,0,0,0.0,0,0,0,0,0,0,0,0,0
1,1,0,0,0,1,3,0,0,4.09400016056493,0,0.5,0,0,0.0,0,347,0,0,1,0,0,0,0
1,1,0,1,1,0,4,1,0,4.16906937340607,1,0.468085106382979,0,1,0.0,23,25,0,0,1,0,0,0,0
1,0,0,0,0,1,3,0,0,4.50186647650336,0,0.408163265306122,0,0,0.0,0,0,3,0,1,0,1,0,0
1,0,0,0,0,1,2,0,0,3.43872187554087,0,0.666666666666667,0,0,0.0,0,0,0,0,1,0,0,0,0
1,0,0,0,0,1,2,0,0,4.02346518960165,0,0.72,0,0,0.0,0,0,0,0,1,0,0,0,0
1,0,0,0,0,1,2,0,0,3.92922929667218,0,0.75,0,0,0.0,0,0,0,0,1,0,0,0,0
1,0,0,0,0,1,2,0,0,3.64559331445115,0,0.714285714285714,0,0,0.0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,1,2,0,0,4.00153101210974,0,0.382978723404255,0,0,0.0,0,0,0,0,1,0,0,0,0
1,1,0,1,8,1,2,0,0,3.64248967316613,0,0.652173913043478,0,1,0.0,19,1,0,0,1,0,0,0,0
1,1,0,1,0,1,2,0,0,3.65726822961739,0,0.666666666666667,0,0,0.0,0,147,0,0,1,0,0,0,0
1,1,0,1,0,1,2,0,0,4.01687569576656,0,0.777777777777778,0,0,0.0,211,29,0,0,1,0,0,0,0
1,1,0,0,0,1,3,0,0,4.16638950523773,0,0.477272727272727,0,0,0.0,0,0,0,0,1,0,1,0,0
1,0,0,0,0,1,2,0,0,3.92922929667218,0,0.5625,0,0,0.0,0,0,0,0,1,0,0,0,0
1,0,0,0,0,1,2,1,0,3.81008102052173,0,0.555555555555556,0,0,0.0,0,0,3,0,0,0,0,0,0
1,0,0,0,0,1,3,0,0,4.12614964343903,0,0.320754716981132,0,0,0.0,0,0,0,0,1,0,0,0,0
1,0,0,0,0,1,4,0,0,4.26297904107074,0,0.45945945945946,0,0,0.0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,1,3,1,0,4.35455244495229,0,0.282608695652174,0,0,0.0,0,0,6,0,1,0,0,0,0
1,0,0,0,0,1,3,0,0,4.01808179397869,0,0.741935483870968,0,0,0.0,0,0,0,0,0,0,0,0,0
1,1,0,1,0,1,2,0,0,4.00436418470814,0,0.758620689655172,0,0,0.0,51,14,0,0,1,0,0,0,0
