At Character,Ampersand,Is English word,Frame tag present,Google Search Feature,Sensitive Words,Semicolon,Domain to URL Ratio,IP Address,Hash Character,Number of fragments,Https in URL,Host name length,ASN Postal Code,Special Characters,Number of parameter,ASN updation date,mailto: present,Numeric Character,Underscore,Levenshtein Distance,Dash,Delimiters,Div tag in source,Label
0,0,1,0,0,0,0,0.105263157894737,0,0,0,0,12,0,19,0,1,0,6,0,0,11,0,0,0
0,0,1,1,0,19,0,0.154411764705882,1,0,0,0,21,1,20,0,1,0,0,0,0,10,0,227,0
0,0,1,0,0,9,0,0.21551724137931,1,0,0,0,25,1,21,1,1,1,3,0,0,13,0,111,0
0,0,1,1,0,1,0,0.188118811881188,1,0,0,0,19,1,23,0,0,1,6,0,0,14,0,113,0
0,0,1,0,0,0,0,0.183673469387755,1,0,0,0,18,1,19,0,1,0,8,0,0,6,0,0,0
0,0,1,0,0,0,0,0.171717171717172,0,0,0,0,17,0,28,0,0,0,13,0,0,0,0,0,0
0,0,1,1,0,0,0,0.136842105263158,1,0,0,0,13,1,22,1,0,0,19,1,0,2,0,23,0
0,0,0,0,0,0,0,0.204301075268817,1,0,0,0,19,1,21,0,1,0,8,0,0,13,0,0,0
0,0,1,0,0,0,0,0.118181818181818,1,0,0,0,13,1,35,0,0,0,37,0,0,0,0,0,0
0,0,0,0,0,0,0,0.112244897959184,1,0,0,0,11,1,20,0,0,0,1,0,0,12,0,0,0
0,0,1,0,0,0,0,0.228260869565217,0,0,0,0,21,0,17,0,1,0,0,0,0,10,0,0,0
0,0,1,1,0,8,0,0.155555555555556,1,0,0,0,14,1,17,0,1,0,6,0,0,8,0,147,0
0,0,1,1,0,78,0,0.193877551020408,1,0,0,0,19,1,16,1,1,0,6,0,0,6,0,242,0
0,0,1,0,0,0,0,0.0884955752212389,1,0,0,0,10,1,22,0,1,0,4,0,0,13,0,0,0
0,0,1,0,0,0,0,0.177777777777778,1,0,0,1,16,1,14,0,1,0,13,0,0,5,0,7,0
0,2,0,0,0,0,0,0.137931034482759,1,0,0,0,20,1,25,3,0,0,5,2,0,3,0,0,0
0,0,0,0,0,0,0,0.0964912280701754,1,0,0,0,11,1,25,1,0,0,5,0,0,15,0,0,0
0,0,0,0,0,0,0,0.122641509433962,1,0,0,0,13,1,23,0,0,0,18,0,0,15,0,0,0
0,4,1,0,0,0,0,0.12781954887218,1,0,0,0,17,1,20,5,1,0,27,2,0,0,0,0,0
0,0,1,0,0,0,0,0.125,1,0,0,0,11,1,17,0,1,0,6,0,0,9,0,0,0
0,0,1,0,0,0,0,0.078125,1,0,0,0,10,1,20,0,0,0,3,0,0,8,0,0,0
0,0,1,1,0,7,0,0.166666666666667,1,0,0,0,16,1,15,0,1,0,0,0,0,2,0,268,0
0,0,1,0,0,0,0,0.153153153153153,1,0,0,0,17,1,17,1,1,0,17,0,0,6,0,0,0
0,0,1,0,0,0,0,0.201923076923077,0,0,0,0,21,0,23,0,1,0,0,0,0,16,0,0,0
0,1,1,0,0,0,0,0.144329896907216,1,0,0,0,14,1,14,2,1,0,31,3,0,0,0,0,0
0,0,1,1,0,25,0,0.144827586206897,1,0,0,0,21,1,23,0,1,0,0,0,0,13,0,251,0
0,0,1,1,0,24,0,0.178947368421053,1,0,0,0,17,1,20,0,1,0,13,0,0,12,0,283,0
0,0,1,0,0,0,0,0.179245283018868,0,0,0,0,19,0,27,0,1,0,21,0,0,4,0,0,0
0,1,1,0,0,0,0,0.168316831683168,1,0,0,1,17,1,18,2,1,0,0,0,9,1,0,0,0
0,3,1,0,0,0,0,0.180851063829787,1,0,0,0,17,1,25,4,1,0,13,3,0,0,0,0,0
0,0,1,0,2,0,0,0.0663265306122449,1,0,0,0,13,1,65,0,1,0,59,0,15,4,0,0,0
0,0,1,0,0,0,0,0.144444444444444,1,0,0,0,13,1,17,0,1,0,6,0,9,7,0,0,0
0,0,1,1,2,2,0,0.173553719008264,1,0,0,0,21,1,18,1,1,0,10,0,9,6,0,18,0
0,1,1,0,0,0,0,0.179245283018868,1,0,0,0,19,1,16,2,1,0,1,2,9,1,0,0,0
0,0,1,0,0,0,0,0.135416666666667,0,0,0,0,13,0,19,0,1,0,5,10,11,0,0,0,0
0,0,1,0,1,32,0,0.202247191011236,1,0,0,0,18,1,18,0,1,0,10,0,9,11,0,118,0
