Levenshtein Distance,Body tags in source,Number of parameter,Digit to alphabet ratio,Entropy,Equals,IP Address,Host name length,ASN Postal Code,Percentage Character,Path length,Special Characters,Escape() function,Total links,Word based distribution,English Letters,Is www present,Question Mark,Numeric Character,Delimiters,At Character,Frame tag present,Underscore,Domain to URL Ratio,Is domain suspicious,Label
0,1,0,0.0,3.12798680687768,0,1,11,1,0,0,5,0,256,1,13,0,0,0,0,0,1,0,0.611111111111111,19,0
0,1,0,0.0,3.78346518960165,0,1,18,1,0,0,5,1,130,1,20,0,0,0,0,0,0,0,0.72,3,0
0,1,0,0.0,3.54346518960165,0,1,18,1,0,0,5,0,20,1,20,0,0,0,0,0,0,0,0.72,12,0
0,0,0,0.117647058823529,3.7720552088742,0,1,17,1,0,0,5,0,0,1,17,0,0,2,0,0,0,0,0.708333333333333,0,0
0,1,0,0.0,3.7887549139935,0,1,15,1,0,0,5,1,256,1,17,0,0,0,0,0,0,0,0.681818181818182,63,0
0,1,0,0.0,4.16229490957088,0,1,20,1,0,0,6,0,0,1,21,0,0,0,0,0,1,0,0.740740740740741,3,0
0,1,0,0.0,3.92325179698034,0,1,21,1,0,0,5,0,278,1,23,0,0,0,0,0,1,0,0.75,313,0
0,1,0,0.0,3.54643934467102,0,1,13,1,0,0,5,0,3,1,15,0,0,0,0,0,0,0,0.65,0,0
9,1,0,0.0,3.46132014021101,0,1,11,1,0,0,5,0,202,1,13,0,0,0,0,0,1,0,0.611111111111111,66,0
8,1,0,0.0,3.67326968951511,0,1,18,1,0,0,6,0,85,1,19,0,0,0,0,0,1,0,0.72,1,0
9,1,0,0.0,3.653756708287,0,1,14,1,0,0,5,0,0,1,16,0,0,0,0,0,0,0,0.666666666666667,0,0
9,0,0,0.0,3.94346518960165,0,1,18,1,0,0,6,0,0,1,19,0,0,0,0,0,0,0,0.72,0,0
9,1,0,0.0,3.30869496956284,0,1,13,1,0,0,5,2,150,1,15,0,0,0,0,0,1,0,0.65,2,0
9,1,0,0.0,3.51108540818043,0,1,12,1,0,0,5,0,593,1,14,0,0,0,0,0,1,0,0.631578947368421,116,0
23,0,0,0.0,3.78346518960165,0,1,18,1,0,0,5,0,0,1,20,0,0,0,0,0,0,0,0.72,0,0
