Body tags in source,TLD in path,Numeric Character,Percentage Character,Google Search Feature,IP Address,Https in URL,Entropy,Number of parameter,Is English word,Dots,Levenshtein Distance,ASN updation date,Host name length,Total links,Digit to alphabet ratio,Is www present,Label
1,0,0,0,2,1,0,3.350209029,0,1,2,9,1,11,8,0.0,0,0
0,0,0,0,2,1,0,3.38418372,0,1,2,9,1,13,37,0.0,0,0
1,0,0,0,3,1,0,3.65726823,0,1,2,9,1,17,124,0.0,0,0
1,0,0,0,2,1,0,3.555533151,0,1,2,9,1,16,240,0.0,0,0
1,0,0,0,10,1,0,3.940759833,0,1,2,9,1,21,69,0.0,0,0
1,0,0,0,2,1,0,3.613337314,0,1,4,9,1,19,185,0.0,0,0
1,0,0,0,2,1,0,3.788754914,0,1,2,9,1,15,80,0.0,0,0
0,0,0,0,0,1,0,3.76226739065149,0,1,2,0,1,16,115,0.0,0,0
0,0,0,0,0,1,0,3.99590659848425,0,1,2,0,1,29,239,0.0,0,0
0,0,0,0,0,1,0,3.76364677067693,0,1,2,0,1,26,70,0.0,0,0
0,0,0,0,0,1,0,3.91211389097223,0,1,2,0,1,20,127,0.0,0,0
0,0,0,0,0,1,0,3.95822916866988,0,0,2,0,1,20,0,0.0,0,0
0,0,0,0,0,1,0,3.41938194564637,0,1,2,0,1,11,206,0.0,0,0
1,0,0,0,0,1,0,3.57243125132212,0,1,2,0,1,11,89,0.0,0,0
0,0,0,0,0,1,0,3.65366068968819,0,1,2,0,1,18,0,0.0,0,0
0,0,0,0,0,1,0,4.01218840396866,0,1,2,0,1,21,98,0.0,0,0
1,0,0,0,0,1,0,3.97909789113481,0,1,2,0,1,19,86,0.0,0,0
0,0,0,0,0,1,0,3.62346518960165,0,1,2,0,1,18,0,0.0,0,0
1,0,0,0,0,1,0,3.66353275480426,0,1,2,0,1,15,56,0.0,0,0
1,0,0,0,0,1,0,3.44643934467102,0,1,2,0,0,13,19,0.0,0,0
0,0,0,0,0,1,0,3.72565075611209,0,1,2,0,1,14,10,0.0,0,0
0,0,0,0,0,1,0,3.68418371977919,0,1,2,0,1,13,107,0.0,0,0
1,0,0,0,0,1,0,3.44286216515547,0,1,2,0,1,15,51,0.0,0,0
1,0,0,0,0,1,0,3.93027037229345,0,0,2,0,1,20,137,0.0,0,0
0,0,0,0,0,1,0,4.03914867190307,0,1,2,0,1,21,0,0.0,0,0
0,0,0,0,0,1,0,3.67531086891236,0,1,2,0,0,16,0,0.0,0,0
0,0,0,0,0,1,0,3.53831059561501,0,1,2,0,1,15,97,0.0,0,0
1,0,0,0,0,1,0,4.04729909842664,0,1,2,0,1,22,13,0.0,0,0
1,0,0,0,0,1,0,3.89629152904593,0,1,2,0,1,21,175,0.0,0,0
0,0,4,0,0,1,0,3.84040254670251,0,0,2,0,1,22,19,0.2,0,0
1,0,0,0,0,1,0,3.78418371977919,0,1,2,0,1,13,330,0.0,0,0
1,0,0,0,0,1,0,3.70804815007123,0,1,2,0,1,20,15,0.0,0,0
0,0,0,0,0,1,0,3.55851861304891,0,1,3,0,0,14,0,0.0,0,0
1,0,0,0,0,1,0,3.32636040795269,0,1,2,0,1,12,14,0.0,0,0
1,0,0,0,0,1,0,3.81366068968819,0,1,2,0,0,18,117,0.0,0,0
1,0,0,0,0,1,0,3.8154107252427,0,1,2,0,1,21,152,0.0,0,0
0,0,0,0,0,1,0,3.54643934467102,0,1,2,0,1,13,70,0.0,0,0
1,0,0,0,0,1,0,3.58835434717323,0,1,2,0,1,16,490,0.0,0,0
0,0,0,0,0,0,0,3.89806851205884,0,1,2,0,1,23,0,0.0,0,0
0,0,0,0,0,0,0,4.05366068968819,0,0,2,0,1,18,4,0.0,0,0
1,0,0,0,0,1,0,3.36030597770208,0,1,2,0,1,16,8,0.0,0,0
1,0,1,0,0,1,0,3.92385618977473,0,0,2,0,1,18,222,0.0526315789473684,0,0
0,0,0,0,0,1,0,3.54346518960165,0,1,3,0,0,18,0,0.0,0,0
0,0,0,0,0,1,0,3.92323142879762,0,1,2,0,1,23,141,0.0,0,0
0,0,0,0,0,1,0,4.08172767886974,0,0,2,0,1,23,0,0.0,0,0
0,0,0,0,0,1,0,3.85538854220753,0,1,2,0,1,17,0,0.0,0,0
0,0,0,0,0,1,0,3.7720552088742,0,1,2,0,1,17,313,0.0,0,0
1,0,0,0,0,1,0,3.81366068968819,0,1,2,0,1,18,179,0.0,0,0
1,0,0,0,0,1,0,3.85182322555177,0,1,2,0,1,21,188,0.0,0,0
1,0,0,0,0,1,0,3.42192809488736,0,1,2,0,1,13,0,0.0,0,0
1,0,0,0,0,1,0,3.36030597770208,0,1,2,0,1,16,109,0.0,0,0
0,0,0,0,0,1,0,3.86346518960165,0,1,2,0,1,18,69,0.0,0,0
1,0,0,0,0,1,0,3.81008102052173,0,1,3,0,0,20,264,0.0,0,0
1,0,0,0,0,1,0,3.38418371977919,0,1,2,0,1,13,134,0.0,0,0
1,0,0,0,0,1,0,3.72850211574263,0,1,2,0,1,22,21,0.0,0,0
0,0,0,0,0,1,0,4.05422929667218,0,1,3,0,1,25,108,0.0,0,0
0,0,0,0,0,1,0,3.46132014021101,0,1,2,0,0,11,153,0.0,0,0
0,0,0,0,0,1,0,3.92102962173762,0,1,3,0,1,19,0,0.0,0,0
1,0,0,0,0,1,0,3.44643934467102,0,1,2,0,1,13,50,0.0,0,0
0,0,0,0,0,1,0,3.73600694644766,0,1,2,0,1,20,0,0.0,0,0
0,0,0,0,0,1,0,3.48171457298607,0,1,3,0,0,15,405,0.0,0,0
1,0,0,0,0,1,0,3.75444184571335,0,1,2,0,0,15,211,0.0,0,0
1,0,0,0,0,1,0,3.95822916866988,0,1,3,0,0,20,130,0.0,0,0
0,0,0,0,0,1,0,3.7489948035251,0,1,2,0,1,14,0,0.0,0,0
1,0,0,0,0,1,0,4.03230324274395,0,1,2,0,1,20,51,0.0,0,0
1,0,0,0,0,1,0,3.8841550945958,0,1,2,0,1,20,49,0.0,0,0
1,0,0,0,0,1,0,3.69026039096838,0,1,2,0,0,19,59,0.0,0,0
1,0,0,0,0,1,0,3.46132014021101,0,1,2,0,1,11,68,0.0,0,0
1,0,0,0,0,1,0,3.81437194317963,0,1,3,0,1,22,48,0.0,0,0
0,0,0,0,0,1,0,3.44740150470592,0,1,3,0,0,15,298,0.0,0,0
1,0,0,0,0,1,0,3.76396574282408,0,1,2,0,1,20,133,0.0,0,0
1,0,0,0,0,1,0,3.65366068968819,0,1,2,0,1,18,122,0.0,0,0
0,0,0,0,0,1,0,3.60693673217532,0,1,2,0,1,15,0,0.0,0,0
1,0,0,0,0,1,0,3.48307418942857,0,1,2,0,1,18,0,0.0,0,0
1,0,0,0,0,1,0,4.10701770959536,0,1,3,0,1,29,178,0.0,0,0
1,0,0,0,0,1,0,3.555533151427,0,1,2,0,1,16,0,0.0,0,0
1,0,0,0,0,1,0,3.48418371977919,0,1,2,0,1,13,0,0.0,0,0
0,0,1,0,0,1,0,3.78494182743764,0,0,2,0,1,14,381,0.0666666666666666,0,0
0,0,0,0,0,1,0,3.93957226198672,0,1,2,0,1,23,0,0.0,0,0
1,0,0,0,0,1,0,3.62117554291947,0,1,2,0,1,16,111,0.0,0,0
1,0,0,0,0,1,0,3.57243125132212,0,1,2,0,1,11,323,0.0,0,0
1,0,0,0,0,1,0,3.74420356831181,0,1,2,0,1,24,148,0.0,0,0
1,0,0,0,0,1,0,3.46132014021101,0,1,2,0,1,11,22,0.0,0,0
1,0,0,0,0,1,0,3.84922391239062,0,1,2,0,1,16,0,0.0,0,0
1,0,0,0,0,1,0,3.46132014021101,0,1,2,0,1,11,109,0.0,0,0
0,0,0,0,0,1,0,3.83326968951511,0,1,2,0,1,18,118,0.0,0,0
0,0,0,0,0,0,0,3.44643934467102,0,1,3,0,0,13,171,0.0,0,0
1,0,0,0,0,1,0,3.88582806913643,0,0,2,0,1,24,20,0.0,0,0
0,0,0,0,0,1,0,3.68374218183029,0,1,3,0,0,24,0,0.0,0,0
1,0,0,0,0,1,0,3.73366068968819,0,1,2,0,1,18,2,0.0,0,0
1,0,0,0,0,1,0,3.60693673217532,0,1,2,0,0,15,138,0.0,0,0
1,0,0,0,0,1,0,3.52192809488736,0,1,2,0,1,13,107,0.0,0,0
0,0,0,0,0,0,0,4.09806851205884,0,1,3,0,0,23,0,0.0,0,0
0,0,0,0,0,0,0,3.555533151427,0,1,3,0,0,16,0,0.0,0,0
0,0,0,0,0,0,0,3.63684218813101,0,1,2,0,1,17,0,0.0,0,0
0,0,0,0,0,1,0,3.57661764490867,0,1,2,0,1,12,89,0.0,0,0
1,0,0,0,0,1,0,3.88684218813101,0,1,2,0,1,17,37,0.0,0,0
