Query length,ASN updation date,Levenshtein Distance,Google Search Feature,Numeric Character,Is domain suspicious,Dash,Semicolon,Equals,Is www present,Sensitive Words,Https in URL,Special Characters,Dots,Domain Age in Days,English Letters,Exec() Function,Host name length,Label
0,1,0,0,0,0,0,0,0,1,0,1,6,2,0,26,0,23,0
0,1,0,0,0,0,0,0,0,1,0,1,8,3,2694,31,0,21,0
0,1,0,0,0,0,5,0,0,1,0,1,15,4,0,87,0,28,0
0,1,0,0,6,7,1,0,0,1,0,1,10,2,6040,39,0,15,0
0,1,0,0,0,42,2,0,0,1,1,1,10,3,5919,45,0,24,0
0,1,0,0,2,0,0,0,0,1,0,1,11,2,6018,47,0,13,0
0,1,0,0,0,0,0,0,0,1,0,1,7,2,3230,32,0,16,0
0,1,0,0,8,0,18,0,0,1,0,1,26,2,2918,132,0,14,0
0,1,0,0,4,0,5,0,0,1,0,1,13,3,2312,61,0,21,0
0,1,0,0,3,11,2,0,0,1,1,1,16,3,1574,58,0,15,0
0,1,0,0,0,94,2,0,0,1,42,1,9,2,3230,42,0,16,0
0,1,0,0,12,0,9,0,0,1,0,1,20,3,0,83,0,27,0
0,1,0,0,9,0,0,0,0,1,0,1,10,4,0,27,0,14,0
0,1,0,0,0,46,14,0,0,1,13,1,21,2,3593,94,0,16,0
0,1,0,0,3,16,0,0,0,1,9,1,10,4,3259,45,0,26,0
0,1,0,0,6,0,0,0,0,1,0,1,7,3,3259,23,0,15,0
0,0,0,0,0,0,0,0,0,1,0,1,6,2,0,22,0,19,0
0,1,0,0,0,0,0,0,0,1,0,1,9,2,2230,31,0,13,0
0,1,0,0,7,0,3,0,0,1,0,1,10,2,3259,17,0,12,0
0,1,0,0,0,0,0,0,0,1,0,1,9,3,0,45,0,20,0
0,1,0,0,5,11,0,0,0,1,0,1,7,2,8861,24,0,16,0
10,1,0,0,7,0,0,0,1,1,0,1,11,4,0,35,0,18,0
0,1,0,0,0,0,0,0,0,1,0,1,9,4,10483,48,0,22,0
0,1,0,0,0,3,0,0,0,1,3,1,7,3,3579,44,0,28,0
0,1,0,0,0,0,0,0,0,1,0,1,6,2,6228,30,0,27,0
0,1,0,0,2,47,0,0,0,1,15,1,10,2,2918,37,0,11,0
0,1,0,0,4,0,3,0,0,1,0,1,12,3,3593,52,0,17,0
0,1,12,0,0,0,0,0,0,1,0,1,10,3,0,37,0,20,0
0,1,0,0,0,82,0,0,0,1,3,1,12,3,7597,59,0,17,0
0,1,0,0,8,0,11,0,0,1,0,1,21,2,5079,83,0,22,0
0,1,0,0,1,30,0,0,0,1,1,1,8,2,3593,38,0,22,0
0,0,0,0,10,0,1,0,0,1,0,1,11,4,4266,48,0,37,0
0,1,0,0,0,0,0,0,0,1,0,1,6,2,1832,20,0,17,0
0,1,0,0,12,0,0,0,0,1,0,1,20,3,0,44,0,20,0
0,1,0,0,0,320,0,0,0,1,93,1,6,2,3593,21,0,18,0
0,1,0,0,9,0,0,0,0,1,0,1,8,3,6228,33,0,26,0
0,1,0,0,1,0,0,0,0,1,0,1,11,2,2293,53,0,18,0
0,1,0,0,0,0,0,0,0,1,0,1,6,2,8075,30,0,27,0
0,1,0,0,0,0,0,0,0,1,0,1,7,3,0,30,0,28,0
0,0,0,0,0,0,0,0,0,1,0,1,7,3,4266,32,0,30,0
0,1,0,0,0,0,7,0,0,1,0,1,14,2,10951,61,0,14,0
0,1,0,0,15,0,2,0,0,1,0,1,10,2,6876,41,0,16,0
0,1,0,0,0,0,0,0,0,1,0,1,6,2,6876,28,0,16,0
0,1,0,0,8,25,0,0,0,1,10,1,14,3,2209,48,0,21,0
43,1,0,0,6,40,0,0,1,1,3,1,13,3,3070,72,0,21,0
0,1,0,0,12,0,9,0,0,1,0,1,20,3,4086,72,0,29,0
0,1,0,0,0,0,0,0,0,1,0,1,6,2,0,31,0,28,0
0,0,8,0,6,0,6,0,0,1,0,1,16,4,4266,47,0,22,0
0,1,0,0,8,3,1,0,0,1,1,1,9,2,1095,40,0,15,0
0,1,0,0,0,0,1,0,0,1,0,1,10,5,0,45,0,27,0
0,1,0,0,2,0,2,0,0,1,0,1,9,3,1623,26,0,28,0
0,1,0,0,6,0,3,0,0,1,0,1,13,3,0,54,0,17,0
0,1,9,2,7,74,1,0,0,1,10,1,12,3,2230,56,0,18,0
15,0,0,0,10,248,0,0,1,1,49,1,9,3,12095,29,0,11,0
0,1,0,0,0,0,0,0,0,1,0,1,6,2,6500,21,0,18,0
0,1,0,0,7,0,4,0,0,1,0,1,13,3,4643,48,0,12,0
23,1,0,0,11,0,0,0,3,1,0,1,13,3,9904,33,0,17,0
0,1,0,0,0,206,0,0,0,1,33,1,10,2,3852,45,0,22,0
14,1,0,0,0,0,0,0,1,1,0,1,9,3,0,53,0,27,0
0,1,0,0,0,0,1,0,0,1,0,1,10,3,3300,50,0,11,0
0,1,0,0,0,0,0,0,0,1,0,1,9,3,0,39,0,20,0
0,1,0,0,1,0,0,0,0,1,0,1,8,3,3811,40,0,15,0
0,1,0,0,4,0,0,0,0,1,0,1,8,2,12196,19,0,14,0
0,1,9,4,4,0,13,0,0,1,0,1,22,4,3593,91,0,22,0
0,1,0,0,4,98,0,0,0,1,4,1,10,4,3593,48,0,26,0
0,0,0,0,0,0,0,0,0,1,0,1,6,2,0,23,0,20,0
0,1,0,0,1,0,2,0,0,1,0,1,10,2,3593,39,0,13,0
0,1,0,0,0,0,0,0,0,1,0,1,7,3,1574,25,0,15,0
0,1,0,0,0,310,0,0,0,1,38,1,9,3,3593,53,0,33,0
68,1,0,0,8,0,0,0,4,1,0,1,17,2,11728,73,0,16,0
0,1,0,0,8,3,5,0,0,1,1,1,13,2,1095,59,0,15,0
0,1,28,0,0,0,0,0,0,1,0,1,10,4,2918,58,0,20,0
9,1,0,0,6,0,0,0,1,1,0,1,10,2,3852,23,0,10,0
0,0,0,0,0,0,1,0,0,1,0,1,7,2,0,26,0,24,0
0,1,0,0,1,11,0,0,0,1,0,1,9,4,3259,43,0,26,0
0,1,9,2,0,71,0,0,0,1,36,1,6,2,2293,18,0,15,0
0,1,0,0,4,0,4,0,0,1,0,1,13,3,2043,61,0,21,0
0,1,0,0,6,215,4,0,0,1,22,1,13,3,11106,50,0,17,0
12,1,12,6,0,0,0,0,1,1,0,1,9,3,3259,60,0,34,0
0,1,0,0,8,85,5,0,0,1,12,1,13,2,7002,52,0,24,0
0,1,0,0,0,0,0,0,0,1,0,1,11,2,9011,64,0,25,0
0,1,0,0,0,0,0,0,0,1,0,1,8,3,3503,38,0,17,0
0,1,0,0,0,81,0,0,0,1,12,1,6,2,3783,23,0,20,0
0,1,0,0,14,0,6,0,0,1,0,1,17,5,0,70,0,26,0
0,1,0,0,10,43,5,0,0,1,19,1,13,2,2027,50,0,16,0
0,1,0,0,0,0,0,0,0,1,0,1,6,2,3656,26,0,23,0
0,1,0,0,9,0,0,0,0,1,0,1,8,3,0,35,0,27,0
0,1,0,0,5,10,3,0,0,1,5,1,12,2,3259,58,3,26,0
0,1,0,0,3,0,0,0,0,1,0,1,6,2,0,17,0,14,0
0,0,0,0,0,23,0,0,0,1,5,1,11,4,12633,38,0,19,0
0,1,0,0,9,0,1,0,0,1,0,1,7,2,9288,18,0,14,0
0,1,9,0,0,54,0,0,0,1,0,1,6,2,6869,18,0,15,0
0,1,0,0,0,0,0,0,0,0,0,1,7,3,0,24,0,22,0
21,1,0,0,0,0,2,0,1,1,0,1,10,2,2728,43,0,22,0
0,1,0,0,0,0,0,0,0,1,0,1,8,2,3593,37,0,20,0
0,1,9,2,0,49,2,0,0,1,8,1,9,2,2918,33,0,15,0
38,1,0,0,15,28,0,0,3,1,6,1,15,3,6911,52,0,18,0
0,1,0,0,10,32,3,0,0,1,6,1,14,3,11036,37,0,13,0
0,1,9,0,1,0,2,0,0,1,0,1,10,2,11728,41,0,15,0
0,1,0,0,0,0,2,0,0,1,0,1,11,2,3593,57,0,28,0
0,1,0,0,5,35,1,0,0,1,15,1,10,2,5169,41,0,20,0
0,1,0,0,0,0,1,0,0,1,0,1,8,3,8035,36,0,35,0
16,1,0,0,6,0,0,0,1,1,0,1,12,4,0,38,0,15,0
0,1,0,0,15,2,2,0,0,1,1,1,10,2,6876,38,0,16,0
0,0,0,0,0,0,0,0,0,1,0,1,10,5,1574,49,0,25,0
18,1,0,0,1,0,0,0,1,1,0,1,10,3,0,56,0,39,0
0,1,0,0,8,32,0,0,0,1,8,1,7,2,3593,24,0,17,0
0,1,0,0,0,0,1,0,0,1,0,1,15,2,0,76,0,10,0
0,1,0,0,6,505,2,0,0,1,61,1,8,2,3593,31,0,17,0
0,1,0,0,0,0,0,0,0,1,0,1,6,2,6515,25,0,22,0
0,1,0,0,9,2,0,0,0,1,0,1,9,3,3490,44,0,15,0
0,1,0,0,0,0,1,0,0,1,0,1,9,3,3259,35,0,14,0
0,1,0,0,4,0,0,0,0,1,0,1,12,2,7480,49,0,10,0
0,1,0,0,0,0,0,0,0,1,0,1,13,6,0,92,0,45,0
0,1,0,0,8,0,9,0,0,1,0,1,17,3,0,66,0,15,0
0,0,0,0,6,0,5,0,0,1,0,1,15,2,0,58,0,11,0
21,1,0,0,2,0,0,0,2,1,0,1,17,4,0,83,0,20,0
0,1,0,0,0,0,1,0,0,1,0,1,9,3,2230,41,0,16,0
0,1,0,0,0,0,2,0,0,1,0,1,9,2,3852,40,0,16,0
0,1,0,0,0,0,0,0,0,1,0,1,11,3,10803,48,0,14,0
0,1,0,0,10,8,4,0,0,1,3,1,12,2,1271,49,0,14,0
0,1,0,0,0,0,0,0,0,1,0,1,7,2,1115,35,0,25,0
0,1,0,0,9,9,1,0,0,1,5,1,12,3,3852,47,0,15,0
0,1,0,0,0,0,0,0,0,1,0,1,10,4,0,52,0,32,0
0,1,0,0,7,59,8,0,0,1,14,1,17,2,3259,71,0,18,0
0,1,0,0,0,0,0,0,0,1,0,1,10,2,2918,50,0,16,0
0,1,0,0,12,0,2,0,0,1,0,1,10,2,3181,39,0,16,0
0,1,0,0,8,0,1,0,0,1,0,1,7,2,9288,18,0,14,0
0,1,9,0,8,0,13,0,0,1,0,1,21,2,1574,91,0,16,0
0,1,0,0,0,0,0,0,0,1,0,1,8,3,0,32,0,20,0
0,1,0,0,4,5092,0,0,0,1,783,1,10,3,7192,79,0,15,0
0,1,0,0,0,4,0,0,0,1,0,1,6,2,3593,16,0,13,0
0,1,0,0,0,0,0,0,0,1,0,1,11,3,2918,41,0,14,0
0,1,0,0,0,0,1,0,0,1,0,1,8,3,0,43,0,22,0
0,1,0,0,2,0,11,0,0,1,0,1,21,2,2728,109,0,16,0
19,1,0,0,15,0,0,0,1,1,0,1,9,3,6876,30,0,16,0
0,1,0,0,11,0,4,0,0,1,0,1,12,2,6876,63,0,16,0
0,1,0,0,0,0,4,0,0,1,0,1,12,3,1574,67,0,25,0
0,1,0,0,4,76,0,0,0,1,33,1,9,3,5178,40,0,18,0
8,0,0,0,1,0,0,0,1,1,0,1,9,2,0,37,0,29,0
0,1,0,0,0,0,1,0,0,1,0,1,9,3,0,43,0,23,0
0,1,0,0,0,0,0,0,0,1,0,1,10,3,0,40,0,20,0
0,1,0,0,8,0,4,0,0,1,0,1,16,3,2918,59,0,22,0
0,1,0,0,18,19,12,0,0,1,3,1,23,2,2694,90,0,19,0
0,1,0,0,10,0,0,0,0,1,0,1,8,2,1948,35,0,15,0
0,1,0,0,5,29,2,0,0,1,3,1,9,2,3300,36,0,12,0
0,1,0,0,0,0,3,0,0,1,0,1,10,2,2918,43,0,16,0
0,1,0,0,0,38,1,0,0,1,6,1,8,2,2918,35,0,15,0
0,0,0,0,0,0,0,0,0,1,0,1,6,2,0,29,0,26,0
0,1,0,0,0,24,0,0,0,1,4,1,6,2,1115,27,8,24,0
0,1,0,0,0,16,0,0,0,1,1,1,6,2,3842,19,0,16,0
0,0,0,0,2,0,0,0,0,1,0,1,6,2,0,18,0,17,0
0,1,0,0,0,0,0,0,0,1,0,1,11,3,2918,44,0,25,0
20,1,0,0,7,69,0,0,2,1,24,1,11,3,5430,36,0,16,0
13,1,0,0,4,3,0,0,1,1,1,1,8,2,4266,31,0,15,0
0,1,0,0,1,0,0,0,0,1,0,1,12,6,0,69,0,45,0
0,1,0,0,7,145,5,0,0,1,35,1,13,2,4640,52,18,14,0
0,1,0,0,12,35,3,0,0,1,18,1,13,2,3852,60,1,17,0
0,1,0,0,1,0,0,0,0,1,0,1,10,3,4210,61,0,39,0
0,1,9,2,0,47,1,0,0,1,0,1,10,3,3230,52,0,22,0
0,1,0,0,0,0,0,0,0,1,0,1,6,2,6228,17,0,14,0
0,1,0,0,0,0,0,0,0,1,0,1,9,3,0,42,0,20,0
0,1,19,0,1,3,0,0,0,1,5,1,9,4,3593,43,0,26,0
0,1,0,0,4,0,0,0,0,1,0,1,7,3,5822,35,0,21,0
0,1,9,3,0,0,0,0,0,1,0,1,9,3,3259,43,0,17,0
0,1,0,0,9,189,3,0,0,1,43,1,11,2,1271,35,0,14,0
0,1,0,0,0,0,0,0,0,1,0,1,6,2,6228,28,0,25,0
0,1,0,0,4,0,0,0,0,1,0,1,9,4,2230,35,0,24,0
0,1,9,1,0,36,0,0,0,1,2,1,7,2,1945,26,0,16,0
0,1,0,0,0,0,0,0,0,1,0,1,7,3,0,25,0,23,0
